
HLAVICKA,
Po,T10,,IMA (b)+1,~,~,,,,,,,,,,,ARC KRY   2;ARC PIS   1,$P,$P,,,,$P,$P,,,$P,,$P,$P,$P,,$PL,$PL,$P,,$P,$PV,
Po,D105,,IMA (a),~,ISU (a),~,~,FLP,~,IDS (a),~,~,IJA,~,,I1C IDS  64;I1C IJA  30,,$P,,,,$PL,$PL,,,,,,$PV,,,,,$PV,,$PV,,
Po,D0206,,,,PIS,~,~,ARC,~,~,IW5,~,,,,I1C IMU   3;I1C IW5   7,,$PV,,,,,,,,,,,,,,,,,,,,
Po,D0207,,,,,,,,,,,,,,,I1C IZU  66;IDS IJA 253,,,,,,,,,,,,,,,,,,,,,,
Po,E112,,,,,IZU (a),~,ISU (b),~,~,KRY,~,,,,IDS IMU   9;IDS IW2  13,,,,,,,,,,,,,,,,,,,,,,
Po,E104,,,,,IZU (a),~,ISU (b),~,~,,,,,,IDS IW5   4;IDS IZU 443,,,,,,,,,,,,,,,,,,,,,,
Po,E105,,,,,IZU (a),~,ISU (b),~,~,,,,,,IJA IMU   7;IJA IW2  13,,,,,,,,,,,,,,,,,,,,,,
Po,G202,,,I1C,~,IW2,~,IMU,~,,,,,,,IJA IW5  16;IJA IZU 258,,,,,,,,,,,,,,,,,,,,,,
Po,A112,,,,,,,,,,,,,,,IMU IW2   3;IMU IW5  12,,,,,,,,,,,,,,,,,,,,,,
Po,A113,,,,,,,,,,,,,,,IMU IZU  11;IW2 IW5   5,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
Út,D105,,IVS,~,IDS (b),~,~,IMA (a)+-1,ITY,~,IJC,~,~,,,AGS EVO   1;AGS NSB   2,$P,$P,,$P,,$P,$P,$P,,$P,,$P,$PV,$P,,$PL,$PL,,$PV,$P,,
Út,D0206,,IVS,~,,VYF,~,,ITY,~,,,,,,AGS PMA   1;AGS PRL   2,,$P,,$P,,,,,,$P,,,,,,,,,$PV,,,
Út,D0207,,FYO,~,,,,,,,,,,,,AGS WAP   2;BIF PMA   1,,$P,,,,,,,,,,,,,,,,,,,,
Út,E112,,IZU (b),~,IPP (a),~,~,WAP,~,~,PRL,~,~,,,BIF WAP   2;EVO PMA   1,,,,,,,,,,,,,,,,,,,,,,
Út,E104,,IZU (b),~,IPP (a),~,~,WAP,~,~,PRL,~,~,,,EVO PRL   1;EVO WAP   2,,,,,,,,,,,,,,,,,,,,,,
Út,E105,,IZU (b),~,IPP (a),~,~,,,,PRL,~,~,,,FVS NSB   1;FYO PRL   1,,,,,,,,,,,,,,,,,,,,,,
Út,G202,,AGS,~,EVO,~,,BIF,~,,,,,,,FYO WAP   1;IAM IDS   5,,,,,,,,,,,,,,,,,,,,,,
Út,A112,,,PMA,~,2PMA,~,,,,,2PMA,~,,,IAM IJC   1;IAM IKR   2,,,,,,,,,,,,,,,,,,,,,,
Út,A113,,,FVS,~,NSB,~,,IAM,~,IKR,~,~,,,IAM IPP   5;IAM ITY   1,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
St,D105,ITW,~,IOS (a),~,~,IVH,~,IOS (b),~,~,ICP,~,,,BIN KKO   3;BIN PES   7,$P,$P,,$P,,$P,,$P,,,$P,$P,$PV,,,$PL,$PL,$P,$PV,$PV,$PV,
St,D0206,,,IOS (a),~,~,KKO,~,IOS (b),~,~,GJA,~,,,FYO ZRE   3;GIS PES   2,$PV,$P,,,,,,$2P,,,,,,,,,,$PV,,$PV,,
St,D0207,,2FYO,~,ZRE,~,GIS,~,IOS (b),~,~,,,,,GIS POS   1;GJA KKO   3,,$PV,,,,,,,,,,,,,,,,,,,,
St,E112,,POS,~,~,IPP (b),~,~,IPK (b),~,~,,,,,GJA PES   7;IAM IBS   1,,$PV,,,,,,,,,,,,,,,,,,,,
St,E104,,,BIN,~,IPP (b),~,~,IPK (b),~,~,,,,,IAM ICP   3;IAM IPK   5,,,,,,,,,,,,,,,,,,,,,,
St,E105,,,,,IPP (b),~,~,IPK (b),~,~,,,,,IAM IPP   5;IAM ITW   3,,,,,,,,,,,,,,,,,,,,,,
St,G202,,,ITP,~,,VGE,~,,IBS,~,,,,,IBS ICP   7;IBS IPK  10,,,,,,,,,,,,,,,,,,,,,,
St,A112,,,,,,,,PES,~,~,,,,,IBS IPP   9;IBS ITP   6,,,,,,,,,,,,,,,,,,,,,,
St,A113,,,,,,,,,,,,,,,IBS ITW  10;ICP IPK 176,,,,,,,,,,,,,,,,,,,,,,
St,N203,,,2IAM,~,,,,,,,,,,,ICP IPP 175;ICP ITP   3,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
Čt,D105,,ISJ,~,INC (a),~,~,2INC (a),INC (b),~,~,2INC (b),,,,FIK IPK  11;FIK ISJ   1,$P,$P,,,,$P,,$P,,$P,,$P,,,,$PL,$PL,$P,,$P,,
Čt,D0206,,ISJ,~,,,,SPP,~,PDS,~,~,2PDS,~,,FIK ITS   1;FIK IZG   8,,$P,,,,,,,,,,,,,,,,$PV,,,,
Čt,D0207,,ISJ,~,ITS,~,SNT,~,~,PDS,~,~,2PDS,~,,IOD ISJ   2;IOD RET   1,,,,,,,,,,,,,,,,,,,,,,
Čt,E112,,,IZG (b),~,~,IPK (a),~,~,IZG (a),~,~,,,,IPK ISJ  10;IPK ITS  21,,,,,,,,,,,,,,,,,,,,,,
Čt,E104,,,IZG (b),~,~,IPK (a),~,~,IZG (a),~,~,,IOD,~,IPK IZG 360;IPK RET   1,,,,,,,,,,,,,,,,,,,,,,
Čt,E105,,,IZG (b),~,~,IPK (a),~,~,IZG (a),~,~,,,,ISJ ITS   4;ISJ IZG   7,,,,,,,,,,,,,,,,,,,,,,
Čt,G202,,VNV,~,,,,FIK,~,RET,~,PRM,~,,,ISJ RET   5;ITS IZG  11,,,,,,,,,,,,,,,,,,,,,,
Čt,A112,,,SLO,~,,,,,,,,,,,ITS RET   2;IZG RET   1,,,,,,,,,,,,,,,,,,,,,,
Čt,A113,,,,,,,,,,,,,,,PRM SNT   1;PRM SPP   2,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
Pá,T8,,,,,,,,,,,,,,,MUL NAV   1;MUL ZPO   4,$P,,,,,,,$P,,,,$P,,$P,,,,,$P,,$PV,
Pá,D105,,IFY,~,2IFY,,,,,,,,,,,NAV ZPO   3;VIZ ZPO   1,,,,,,,,$P,,,,,,$P,,,,,,,,
Pá,D0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pá,D0207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
