
HLAVICKA,
Po,T10,,,,,INM (b),~,,,,,,,,,HSC MAT   2;HSC PDB   2,$P,$P,$2P,$P,$P,$P,,$P,,$P,$P,$P,$PV,$P,,$P,$PL,$P,$PV,$P,$P,
Po,T12,,,INM (a),~,IDA (b),~,,,,,,,,,HSC PGP   1;HSC SIN   4,$P,$P,,$P,,$PV,,$P,,,$P,$P,,,,$PL,,$P,,$P,$PV,
Po,D105,,IDA (a),~,HSC,~,~,,PDB,~,MAT,~,SIN,~,2SIN,HSC ZZN   5;I2C IAL   5,,,,,,,,$P,,,,,,,,,,$PV,,$PV,,
Po,D0206,,,,,,,,,,,,,,,I2C INM  10;I2C ITU  43,,,,,,,,,,,,,,,,,,$PV,,$PV,,
Po,D0207,,IDA (a),~,,,,,,,MAT,~,,,,I2C IUS   1;IAL IDA   8,,,,,,,,,,,,,,,,,,,,,,
Po,E112,,,,ZZN,~,~,,IUS (b),~,~,IAL (a),~,~,,IAL INM 476;IAL ITU  78,,,,,,,,,,,,,,,,,,,,,,
Po,E104,,,,,,,,IUS (b),~,~,IAL (a),~,~,,IAL IUS  58;IDA INM   8,,,,,,,,,,,,,,,,,,,,,,
Po,E105,,,,,,PGP,~,IUS (b),~,~,IAL (a),~,~,,IDA IUS   4;INM ITU 120,,,,,,,,,,,,,,,,,,,,,,
Po,G202,,SEN,~,VYPe,~,~,I2C,~,,,,,,,INM IUS  58;MAT PDB   4,,,,,,,,,,,,,,,,,,,,,,
Po,A112,,,,,,,,,,,,,,,MAT PGP   1;MAT SEN   5,,,,,,,,,,,,,,,,,,,,,,
Po,A113,,,,,,,,,,,,,,,MAT SIN  13;MAT VYPe   5,,,,,,,,,,,,,,,,,,,,,,
Po,N204/5,,2ITU+2,~,~,~,,2ITU+4,~,~,~,~,~,,,MAT ZZN  13;PDB SEN   1,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
Út,T12,,,,,IDA (b),~,,,,,,,,,ACH BIO   3;ACH EIP   1,$P,$P,$P,$P,$P,$P,$P,$P,,$P,,$P,$PV,$P,$P,$P,$PL,$P,$P,$P,$PV,
Út,D105,,IDA (a),~,ISS (b),~,~,TIN,~,~,IMS,~,~,,,ACH POV   4;ACH ROS   5,$P,$P,$2P,$P,,,,,,$P,,,,,,$PL,,,$PV,$P,,
Út,D0206,BIO,~,~,SFC,~,,,,,POV,~,TAM,~,,ACH SFC   2;ACH TAM   7,,$P,,,,,,,,,,,,,,,,,$PV,$PV,,
Út,D0207,,IDA (a),~,ISS (b),~,~,TIN,~,~,IMS,~,~,,,ACH TIN   6;BIO EIP   2,,,,,,,,,,,,,,,,,,,$PV,,,
Út,E112,,INP (a),~,~,IZP (a),~,IFJ (a),~,~,,,,,,BIO FAV   1;BIO PKS   2,,,,,,,,,,,,,,,,,,,,,,
Út,E104,,INP (a),~,~,IZP (a),~,IFJ (a),~,~,,,,,,BIO POV   7;BIO SFC   3,,,,,,,,,,,,,,,,,,,,,,
Út,E105,,INP (a),~,~,IZP (a),~,IFJ (a),~,~,,,,,,BIO TAM  21;BIO TIN  12,,,,,,,,,,,,,,,,,,,,,,
Út,G202,,,,ACH,~,~,,,,,PKS,~,~,,EIP TAM   6;EIP TIN   5,,,,,,,,,,,,,,,,,,,,,,
Út,A112,,ROS,~,EIP,~,,,,,FAV,~,~,,,FAV TAM   3;FAV TIN   4,,,,,,,,,,,,,,,,,,,,,,
Út,A113,,,,,,,,,,,,,,,IDA IFJ   8;IDA IMS   1,,,,,,,,,,,,,,,,,,,,,,
Út,N203,,,,,,,2ISS,~,2ISS,~,2ISS,~,,,IDA INP   8;IDA ISS   9,,,,,,,,,,,,,,,,,,,,,,
Út,N204,,2ITU+6,~,~,~,~,~,~,~,,2ISS,~,,,IFJ IMS  82;IFJ INP 474,,,,,,,,,,,,,,,,,,,,,,
Út,N205,,2ITU+6,~,~,~,~,~,~,~,,,,,,IFJ ISS 478;IFJ ITU 134,,,,,,,,,,,,,,,,,,,,,,
Út,M103,,,,,,,2ILI,~,,,,,,,IFJ IZP  23;IMS INP  31,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
St,D105,,IUS (a),~,~,IPZ,~,~,ITU,~,MAT+-1,2MAT+-1,2IMS,~,,BIS BMS  31;BIS GMU   4,$P,$P,$P,$P,,$P,$PL,$P,,$P,$P,$P,$PV,$P,$P,$P,,$P,$P,$P,$P,
St,D0206,,,,BMS,~,~,BIS,~,~,,,IW1,~,,BIS GUX   2;BIS MAT  12,$P,$2P,$P,,,$PL,,,,,,$PL,$PL,,,,,,$PV,,$P,
